A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
Hennie,Hannenhalli,F,701,163-9973,ROSS,ND,58776,S,Y,30000,2.1034775,3300,0,3300
Jianjian,Jokiniemi,M,802,698-3590,BURLINGTON,VT,5401,M,Y,60000,4.1988535,0,6600,3300
Rene,Beke,F,801,619-2334,CORNISH,UT,84308,M,Y,25000,7.0,0,4950,2475
Mansour,Tawfik,M,419,466-1171,CLEVELAND,OH,44111,S,Y,20000,1.2099231,1300,0,1300
Dushyanth,Khetawat,F,417,131-3931,REPUBLIC,MO,65738,S,Y,40000,6.0,2100,0,1200
Byoung,Claire,F,347,721-3742,NEW YORK,NY,10268,S,Y,100000,4.5329266,0,0,1000
Elben,Goullioud,F,731,666-7840,FLINTVILLE,TN,37335,S,N,5000,0.0,0,0,0
Yuichiro,Uckun,F,808,605-9466,MOUNTAIN VIEW,HI,96771,S,N,75000,8.25,1040,0,0
PerOlof,Motwani,F,980,848-4643,POTECASI,NC,27867,S,Y,100000,7.8304195,3300,0,3300
Eduardus,Deineko,M,402,865-6591,BELVIDERE,NE,68315,M,Y,60000,6.84,0,206,103
Eser,Duparc,F,303,587-2027,CARR,CO,80612,S,N,15000,4.63,0,0,0
Johnathan,Zullighoven,F,907,889-8447,KASILOF,AK,99610,S,N,70000,0.0,0,0,0
Jianxi,Comyn,F,808,404-9902,NAALEHU,HI,96772,M,Y,35000,7.3486843,0,2080,1040
Ria,Lindenbaum,M,870,153-9204,ALTUS,AR,72821,S,N,100000,7.0,20,0,0
Manju,Kipnis,F,443,126-6430,WEST RIVER,MD,20778,S,N,95000,4.75,2400,0,0
Dragan,Pagter,F,939,617-4759,MANATI,PR,674,S,Y,10000,0.0,0,0,0
Changsik,Jacques,F,818,112-1701,FELLOWS,CA,93224,M,N,35000,7.7709284,0,174,0
Bryony,Bassolet,F,603,572-1629,BARNSTEAD,NH,3218,S,N,35000,0.0,0,0,0
Chuda,Kirkham,F,517,835-2893,HOWELL,MI,48863,S,Y,5000,3.9,3100,0,3100
Mei,Boehm,F,651,906-4303,ANGLE INLET,MN,56711,S,Y,40000,6.3900213,3300,0,3300
Charley,Surya,M,302,616-2532,NEWARK,DE,19725,M,Y,15000,2.8818183,0,220,110
Ina,Muhlen,M,551,724-1961,STONE HARBOR,NJ,8247,M,Y,15000,1.4,0,2000,1500
Jonas,Malolepszy,M,907,910-1881,ANCHORAGE,AK,99510,M,Y,55000,0.0,0,0,0
Zhixue,Lucks,F,856,583-5483,SHREWSBURY,NJ,7702,M,N,45000,1.7942708,0,2000,0
Xianjing,Jolfaei,M,479,595-1516,CALDWELL,AR,72322,M,Y,35000,7.0,0,40,20
Maitreya,Wiegley,F,501,134-4359,PINEVILLE,AR,72566,M,Y,90000,7.0,0,40,20
Khurram,Kawakami,F,878,202-9679,ALTOONA,PA,16601,M,Y,60000,3.07,0,0,0
Catharine,Dass,M,719,840-8003,FORT LUPTON,CO,80621,M,N,95000,4.63,0,0,0
Oron,Gerke,F,205,630-9271,EUFAULA,AL,36027,S,Y,10000,5.0,1500,0,300
Hideki,Middleton,F,307,363-3684,CLEARMONT,WY,82835,M,Y,60000,0.0,0,0,0
Eike,Michailidis,M,208,367-3449,MERIDIAN,ID,83646,M,N,50000,7.8,0,6600,0
Wiiliam,Devesa,F,219,282-6761,BIPPUS,IN,46713,S,N,40000,3.4,1000,0,0
Deborah,Kroll,F,315,624-1878,DEER PARK,NY,11729,M,N,55000,4.272256,0,0,0
Jeno,Broodsky,M,580,798-1694,WARNER,OK,74469,M,N,50000,6.25,0,2000,0
Chanathip,Sessa,F,919,331-8110,WINSTON SALEM,NC,27157,S,Y,75000,7.305944,3300,0,3300
Noburu,Luzi,F,605,556-1199,KAYLOR,SD,57354,S,Y,60000,0.0,0,0,0
Guoqiang,Busillo,M,856,545-4920,WINSLOW,NJ,8095,S,N,45000,1.7942708,1000,0,0
Mel,Schend,M,479,851-3156,FORREST CITY,AR,72336,M,Y,20000,4.9682083,0,40,20
Judi,Engelmann,F,803,335-9638,SWANSEA,SC,29160,S,N,45000,7.0,3300,0,0
Evgeny,Waheed,F,769,659-1774,ETTA,MS,38627,M,N,50000,5.0,0,12000,0
